Frequenz (Hz)	Pegel (dB)
46,875000	-34,918453
93,750000	-41,091774
140,625000	-42,838215
187,500000	-42,703407
234,375000	-43,088837
281,250000	-43,608822
328,125000	-43,399883
375,000000	-44,030178
421,875000	-46,011852
468,750000	-48,372608
515,625000	-50,578499
562,500000	-51,316071
609,375000	-51,502033
656,250000	-52,453148
703,125000	-53,169769
750,000000	-53,484264
796,875000	-53,591370
843,750000	-54,086658
890,625000	-54,933945
937,500000	-54,933605
984,375000	-55,187523
1031,250000	-55,193958
1078,125000	-54,472481
1125,000000	-54,772778
1171,875000	-56,673016
1218,750000	-57,950893
1265,625000	-58,802120
1312,500000	-58,367992
1359,375000	-56,750263
1406,250000	-56,806282
1453,125000	-57,870945
1500,000000	-58,989716
1546,875000	-58,702328
1593,750000	-57,227062
1640,625000	-58,036388
1687,500000	-59,638718
1734,375000	-58,922070
1781,250000	-57,459888
1828,125000	-56,671288
1875,000000	-56,711502
1921,875000	-57,758266
1968,750000	-57,357693
2015,625000	-56,475960
2062,500000	-57,594234
2109,375000	-58,690411
2156,250000	-59,646450
2203,125000	-60,135418
2250,000000	-60,206944
2296,875000	-59,991459
2343,750000	-59,755585
2390,625000	-59,610367
2437,500000	-59,886692
2484,375000	-60,039558
2531,250000	-60,701370
2578,125000	-61,143093
2625,000000	-60,461971
2671,875000	-60,195393
2718,750000	-59,976494
2765,625000	-60,066357
2812,500000	-60,020134
2859,375000	-59,986313
2906,250000	-60,285732
2953,125000	-59,737434
3000,000000	-59,736042
3046,875000	-59,967308
3093,750000	-59,493256
3140,625000	-59,989922
3187,500000	-60,242317
3234,375000	-60,306046
3281,250000	-60,205204
3328,125000	-59,794174
3375,000000	-59,136944
3421,875000	-59,560799
3468,750000	-60,066952
3515,625000	-59,696400
3562,500000	-59,539597
3609,375000	-58,445782
3656,250000	-58,082390
3703,125000	-59,399868
3750,000000	-59,603115
3796,875000	-59,682594
3843,750000	-59,286064
3890,625000	-59,864742
3937,500000	-60,145924
3984,375000	-61,156563
4031,250000	-61,041138
4078,125000	-61,446457
4125,000000	-61,747482
4171,875000	-61,640732
4218,750000	-61,519070
4265,625000	-61,729965
4312,500000	-61,645638
4359,375000	-61,841602
4406,250000	-61,497955
4453,125000	-62,085140
4500,000000	-61,689095
4546,875000	-61,946579
4593,750000	-62,269043
4640,625000	-62,807049
4687,500000	-62,951839
4734,375000	-62,645851
4781,250000	-62,766441
4828,125000	-63,085720
4875,000000	-62,771717
4921,875000	-62,723412
4968,750000	-62,915405
5015,625000	-62,919788
5062,500000	-63,027885
5109,375000	-63,707314
5156,250000	-63,610226
5203,125000	-63,109177
5250,000000	-63,183937
5296,875000	-62,550087
5343,750000	-63,129986
5390,625000	-63,124264
5437,500000	-62,877438
5484,375000	-62,784473
5531,250000	-62,899120
5578,125000	-62,773636
5625,000000	-63,097000
5671,875000	-63,660072
5718,750000	-63,411114
5765,625000	-63,377144
5812,500000	-63,371521
5859,375000	-63,919487
5906,250000	-63,416893
5953,125000	-63,492764
6000,000000	-63,851948
6046,875000	-63,731876
6093,750000	-63,440716
6140,625000	-63,473522
6187,500000	-63,405968
6234,375000	-63,404343
6281,250000	-63,671513
6328,125000	-63,802097
6375,000000	-63,754616
6421,875000	-63,415081
6468,750000	-63,399517
6515,625000	-63,542828
6562,500000	-64,036430
6609,375000	-64,029388
6656,250000	-63,790432
6703,125000	-64,560165
6750,000000	-64,738258
6796,875000	-64,646072
6843,750000	-64,511566
6890,625000	-64,588989
6937,500000	-64,346939
6984,375000	-64,693176
7031,250000	-64,847183
7078,125000	-64,582947
7125,000000	-64,604225
7171,875000	-64,681297
7218,750000	-64,534294
7265,625000	-64,389771
7312,500000	-64,382973
7359,375000	-64,563873
7406,250000	-63,920090
7453,125000	-64,615685
7500,000000	-65,073280
7546,875000	-64,717331
7593,750000	-64,639343
7640,625000	-64,782822
7687,500000	-64,785172
7734,375000	-65,070061
7781,250000	-65,278389
7828,125000	-65,556473
7875,000000	-66,045639
7921,875000	-65,638733
7968,750000	-65,322517
8015,625000	-64,979149
8062,500000	-65,602005
8109,375000	-66,000732
8156,250000	-66,352966
8203,125000	-66,457329
8250,000000	-66,569115
8296,875000	-66,240616
8343,750000	-66,347679
8390,625000	-66,600517
8437,500000	-66,959297
8484,375000	-66,678535
8531,250000	-66,757401
8578,125000	-66,680687
8625,000000	-66,832481
8671,875000	-67,452209
8718,750000	-67,396004
8765,625000	-67,788071
8812,500000	-67,422371
8859,375000	-66,838203
8906,250000	-67,255379
8953,125000	-68,491104
9000,000000	-67,646095
9046,875000	-67,901924
9093,750000	-68,308311
9140,625000	-67,902534
9187,500000	-68,285736
9234,375000	-68,552025
9281,250000	-68,401764
9328,125000	-69,435928
9375,000000	-68,829468
9421,875000	-68,867783
9468,750000	-69,567383
9515,625000	-69,453743
9562,500000	-69,780258
9609,375000	-69,752014
9656,250000	-69,178719
9703,125000	-69,725166
9750,000000	-69,530411
9796,875000	-70,000725
9843,750000	-69,881317
9890,625000	-69,984993
9937,500000	-70,314507
9984,375000	-70,583488
10031,250000	-70,002342
10078,125000	-70,187111
10125,000000	-71,313278
10171,875000	-71,106689
10218,750000	-70,681915
10265,625000	-70,542755
10312,500000	-71,523468
10359,375000	-71,312256
10406,250000	-71,073601
10453,125000	-71,496689
10500,000000	-71,571007
10546,875000	-70,696068
10593,750000	-70,987656
10640,625000	-71,285828
10687,500000	-71,596863
10734,375000	-71,685783
10781,250000	-71,963715
10828,125000	-71,866226
10875,000000	-72,076820
10921,875000	-72,606445
10968,750000	-72,864586
11015,625000	-72,797768
11062,500000	-72,461334
11109,375000	-72,120850
11156,250000	-72,098854
11203,125000	-72,896927
11250,000000	-73,463623
11296,875000	-73,416733
11343,750000	-73,044891
11390,625000	-73,200546
11437,500000	-73,171913
11484,375000	-73,488083
11531,250000	-73,282127
11578,125000	-73,295013
11625,000000	-73,498276
11671,875000	-73,291260
11718,750000	-73,273804
11765,625000	-73,930817
11812,500000	-73,954208
11859,375000	-74,119804
11906,250000	-74,633049
11953,125000	-74,353073
12000,000000	-74,221146
12046,875000	-74,709198
12093,750000	-74,645134
12140,625000	-74,867691
12187,500000	-74,639931
12234,375000	-74,492271
12281,250000	-74,885086
12328,125000	-75,469925
12375,000000	-75,314400
12421,875000	-75,303864
12468,750000	-75,702522
12515,625000	-75,455063
12562,500000	-75,497719
12609,375000	-75,939377
12656,250000	-75,693138
12703,125000	-75,698624
12750,000000	-76,221260
12796,875000	-76,473999
12843,750000	-76,646309
12890,625000	-76,659035
12937,500000	-76,863548
12984,375000	-76,827682
13031,250000	-76,642937
13078,125000	-77,126137
13125,000000	-77,018585
13171,875000	-76,725861
13218,750000	-77,035126
13265,625000	-77,037354
13312,500000	-77,214989
13359,375000	-76,946800
13406,250000	-77,295486
13453,125000	-77,809715
13500,000000	-77,327072
13546,875000	-77,589943
13593,750000	-77,834854
13640,625000	-78,170364
13687,500000	-77,631012
13734,375000	-77,595581
13781,250000	-77,624489
13828,125000	-77,857002
13875,000000	-77,896217
13921,875000	-78,111504
13968,750000	-79,100464
14015,625000	-78,723343
14062,500000	-78,702591
14109,375000	-78,804276
14156,250000	-78,589531
14203,125000	-78,561035
14250,000000	-78,688988
14296,875000	-78,741920
14343,750000	-79,050812
14390,625000	-79,297264
14437,500000	-78,995094
14484,375000	-78,777061
14531,250000	-79,026932
14578,125000	-79,473877
14625,000000	-79,342949
14671,875000	-79,279266
14718,750000	-79,342514
14765,625000	-79,408607
14812,500000	-79,688683
14859,375000	-79,977234
14906,250000	-79,856339
14953,125000	-79,554718
15000,000000	-79,469986
15046,875000	-79,497406
15093,750000	-79,757980
15140,625000	-79,840523
15187,500000	-79,919868
15234,375000	-79,781349
15281,250000	-79,836678
15328,125000	-80,348190
15375,000000	-80,699440
15421,875000	-80,557632
15468,750000	-80,387421
15515,625000	-80,405220
15562,500000	-80,382751
15609,375000	-79,870476
15656,250000	-80,239090
15703,125000	-80,310837
15750,000000	-79,969994
15796,875000	-80,041992
15843,750000	-80,133514
15890,625000	-80,384926
15937,500000	-80,181664
15984,375000	-80,037514
16031,250000	-80,441566
16078,125000	-80,450233
16125,000000	-80,457207
16171,875000	-80,545212
16218,750000	-80,956009
16265,625000	-80,668831
16312,500000	-80,208038
16359,375000	-80,264648
16406,250000	-80,484550
16453,125000	-80,756279
16500,000000	-81,112358
16546,875000	-80,837074
16593,750000	-80,722641
16640,625000	-80,790161
16687,500000	-80,787582
16734,375000	-80,865982
16781,250000	-80,862862
16828,125000	-80,663002
16875,000000	-80,757599
16921,875000	-80,805931
16968,750000	-80,999191
17015,625000	-80,561226
17062,500000	-80,161942
17109,375000	-80,494263
17156,250000	-81,090668
17203,125000	-81,343285
17250,000000	-81,545326
17296,875000	-81,314270
